rowid,name,auroc,auroc_std,auprc,auprc_std,f1,f1_std,sensitivity,sensitivity_std,specificity,specificity_std,ppv,ppv_std,npv,npv_std,accuracy,accuracy_std,tn,tn_std,fn,fn_std,tp,tp_std,fp,fp_std
0,pfda_ensemble-stacked-15_sc2_1,0.6513136094674556,0.07351892509678369,0.8070343872231126,0.06870563049035196,0.7182551248143669,0.059003706891053366,0.6923076923076923,0.1011533560484346,0.47560839160839163,0.14865981685437188,0.7628068526618533,0.04562733156472891,0.4004796681360149,0.08302164887426515,0.6276533094180152,0.058075705898955776,5.2,1.6615384127148325,8.0,2.629987257259299,18.0,2.629987257259299,5.800000000000001,1.6615384127148325
1,pfda_RandomForest__sc2_1,0.648388111888112,0.039435093873460746,0.7884459109970694,0.027342251730803253,0.6911680745647143,0.11846401294671845,0.6784615384615386,0.1911801972660403,0.4548461538461538,0.19904673324995387,0.7537446090596015,0.0372198870251836,0.3906003145087814,0.0828879673048348,0.6081045751633988,0.08673690032290218,4.88,2.238389048046691,8.36,4.970685128917048,17.639999999999997,4.970685128917047,6.12,2.238389048046691
2,pfda_LogisticRegression_TierSelect-PCA_PHENO-TIER1-TIER2-TIER3-TIER4_sc2_1,0.6247651963421195,0.05002216638022983,0.7917549640873206,0.028702813147406237,0.7029260679273825,0.07561960552807176,0.6738461538461539,0.11900286309256261,0.46499999999999997,0.183250202063264,0.7613752812421986,0.056703946485142834,0.3795552232531948,0.09907284677379691,0.6183522889405243,0.06841700845255907,5.32,1.959318974237466,8.48,3.094074440406628,17.52,3.094074440406628,5.68,1.959318974237466
3,pfda_SwitchModel-LogisticRegression__sc2_1,0.6293356643356642,0.027828166262195992,0.766301299781363,0.030561309100949847,0.634358939741971,0.09378800119996943,0.5523076923076923,0.1281268718786776,0.6561958041958043,0.14402714314825765,0.7944471836657703,0.03757392322934154,0.39248642724141447,0.04980539557982822,0.585579063226122,0.06083673239517219,7.24,1.5872124061503792,11.639999999999999,3.331298668845618,14.36,3.331298668845618,3.7600000000000002,1.5872124061503794
4,pfda_RandomForest_TierSelect-PCA_PHENO-TIER1_sc2_1,0.7059607315761163,0.05062698143395529,0.860264828290622,0.024457916034209812,0.7501988624869529,0.057844049510271126,0.72,0.0936772638810271,0.558083916083916,0.15020323831477553,0.7958737273747059,0.04855607002972666,0.46995051078952005,0.09648789339120173,0.6710414033943446,0.06221063186853846,6.04,1.684783677195331,7.279999999999999,2.4356088609067044,18.72,2.4356088609067044,4.96,1.684783677195331
5,pfda_SwitchModel-LogisticRegression_TierSelect_PHENO_sc2_1,0.7839136632598172,0.042169304099251105,0.9027261012398101,0.02535979977991006,0.7215851485737215,0.05711751256119445,0.633846153846154,0.09128577133344508,0.7484755244755246,0.12184572354073346,0.8667776569561466,0.054033817917078876,0.46367801956198773,0.05632449880852369,0.6636269753916813,0.05257128577345138,8.040000000000001,1.3066826416780968,9.52,2.3734300546695724,16.479999999999997,2.3734300546695724,2.96,1.3066826416780968
6,pfda_LogisticRegression_PCA_sc2_1,0.6227062937062937,0.04616963023510748,0.750226102708255,0.03513100811596885,0.6456765290764392,0.12360243510374214,0.5923076923076923,0.1713279402737073,0.5631958041958042,0.15461223494305792,0.7600368066706285,0.05783694576410816,0.40840916200504307,0.1029430458982215,0.5868666856902152,0.09545747191030025,6.24,1.7440749683176762,10.6,4.454526447116389,15.4,4.454526447116389,4.76,1.7440749683176762
7,pfda_RandomForest_PCA_sc2_1,0.6344037116729425,0.05862199462873373,0.7922300559829638,0.04652590369133266,0.6570038136640679,0.09616874973772152,0.5969230769230769,0.14327153236955323,0.5732027972027972,0.1860412387565787,0.7774728456499354,0.051982325503103534,0.3645128830330441,0.08169413827384353,0.5894856847798025,0.07483541414781014,6.279999999999999,2.0428605592531546,10.48,3.7250598416083838,15.52,3.7250598416083838,4.720000000000001,2.0428605592531546
8,pfda_XGBoost_TierSelect-PCA_PHENO-TIER1_sc2_1,0.64971920387305,0.08299951918518532,0.8162781556332026,0.058793561697897824,0.6576647719127603,0.13217570758754488,0.6092307692307692,0.170688867086692,0.576006993006993,0.1813466146499862,0.7480035187442041,0.10149682959818687,0.3958463064856254,0.08040323533895496,0.595088935088935,0.09021150252571242,6.159999999999999,2.024874513087897,10.16,4.437910544253993,15.84,4.437910544253993,4.840000000000001,2.024874513087897
9,pfda_SwitchModel-RandomForest_TierSelect_PHENO-TIER1-TIER2-TIER3-TIER4_sc2_1,0.6177754168908015,0.05702383757741244,0.8089766832390705,0.04510489170623598,0.5341946285532087,0.13693741339428256,0.44153846153846155,0.17305915508023384,0.711020979020979,0.21994535946464894,0.8207986874494615,0.08596679855938064,0.3488659281875418,0.06454403314492904,0.5185995950701834,0.08315499134268534,7.76,2.443128706809432,14.52,4.499538032086081,11.479999999999999,4.499538032086081,3.2400000000000007,2.443128706809432
