rowid,name,auroc,auroc_std,auprc,auprc_std,f1,f1_std,sensitivity,sensitivity_std,specificity,specificity_std,ppv,ppv_std,npv,npv_std,accuracy,accuracy_std,tn,tn_std,fn,fn_std,tp,tp_std,fp,fp_std
0,pfda_XGBoost_TierSelect_PHENO-TIER1-TIER2-TIER3-TIER4_sc1_1,0.6545642465500956,0.09099292686431146,0.9205015602751903,0.035416277657575566,0.7782454110626461,0.07358378302941657,0.6817706821480407,0.10924305205702516,0.6541428571428571,0.1559694216587057,0.9305449397214103,0.02881057387390772,0.2488610088387369,0.051056634648352583,0.6773623911900993,0.08408414479590043,4.92,1.5586440568131787,16.56,5.659216900590449,35.52,5.803735757562942,2.72,1.3098593017170441
1,pfda_LogisticRegression__sc1_1,0.6226517324394684,0.059969242148934246,0.8963266377836181,0.021603654530957882,0.7774810227656342,0.0898473364471829,0.6829462989840348,0.12931761466652011,0.6144761904761905,0.09645453470886625,0.924710076746034,0.018362204063057885,0.2584828675320532,0.11626245997224076,0.6757910792688213,0.10701870035995267,4.76,1.4160888611136744,16.520000000000003,6.7461820416469065,35.559999999999995,6.700581826788138,2.88,0.8991392265925618
2,pfda_LogisticRegression_TierSelect-PCA_PHENO_sc1_1,0.6852926256133804,0.0696296993478887,0.9409242262026678,0.02261377707679814,0.7222251989752826,0.11521499375523483,0.6083309143686502,0.14700774569998706,0.690079365079365,0.15187879975462898,0.9337028726811554,0.03126493781516262,0.22025661227125087,0.06831676520470258,0.6196515533259476,0.1236843250579612,5.28,1.6382685453914227,20.4,7.681933529097991,31.679999999999996,7.668821173764878,2.3600000000000003,1.150857443352604
3,pfda_ensemble-soft-4_sc1_1,0.7364961238970673,0.07730441119973407,0.9411571489518462,0.029406058246702765,0.8123525077657424,0.07452768458212608,0.7190130624092889,0.10305581244550828,0.7222857142857143,0.11228705147762648,0.9445355784363993,0.029491860852162804,0.2888489327621489,0.08261782172908216,0.7193227801110803,0.09462903905843996,5.48,1.5086042784051614,14.64,5.384475072271711,37.440000000000005,5.350300942453353,2.16,1.06234767564217
4,pfda_ensemble-stacked-20_sc1_1,0.8086647314949202,0.055007774035261026,0.9640385001306523,0.01652955903105602,0.8357913315052414,0.0514184848092429,0.7443976777939042,0.07780218643631219,0.7971904761904762,0.09609853815854844,0.9608342493673426,0.020079472369454714,0.32455468429433304,0.08404801640299417,0.7505729525793636,0.06717229053904715,6.04,1.3149555398399377,13.319999999999999,4.069411725146161,38.760000000000005,4.006233613579555,1.6,0.854822730110078
5,pfda_SwitchModel-RandomForest__sc1_1,0.6088186122054047,0.07291415131414505,0.9031164479384979,0.02959843446979446,0.4729887366995526,0.221077173513329,0.3626705370101596,0.2114723243392688,0.6604920634920635,0.1897595413009721,0.76974581163472,0.2273174618502197,0.15130104300696426,0.06957562394694096,0.4001556909106558,0.16831239398078324,5.08,1.8752879644613087,33.199999999999996,11.013106672936702,18.880000000000003,10.992386624158794,2.56,1.612642981327723
6,pfda_ensemble-stacked-5_sc1_1,0.7441674614693483,0.07874850544816157,0.9437021506055201,0.029556418743040345,0.8063381896823234,0.07333873024938507,0.708156748911466,0.09910987424289439,0.7386666666666667,0.09828129032193164,0.9468839555254605,0.028186015230142202,0.2837982640742097,0.08731765246087425,0.7124350965543759,0.09011203542484975,5.640000000000001,1.3822959084895463,15.2,5.170589216759369,36.879999999999995,5.172699611157787,2.0,0.9086861175464774
7,pfda_NeuralNetwork_TierSelect-PCA_PHENO_sc1_1,0.6691100398553228,0.053790900528966554,0.9392161093681233,0.019722999949227143,0.7282452917347879,0.052329714486582954,0.6029462989840348,0.07047634218171278,0.6981428571428572,0.13724453413464463,0.9334699160803176,0.030592318611521573,0.20467086471347934,0.04540493879379065,0.6150285209991213,0.05706028499152993,5.319999999999999,1.519524034127254,20.68,3.668824619584863,31.4,3.662266244109927,2.32,1.2157230532898997
8,pfda_NeuralNetwork_TierSelect_PHENO_sc1_1,0.6790384039440643,0.056763593031029715,0.9425366266348087,0.016627064092190762,0.7305887385806271,0.060553333067716264,0.6038751814223512,0.08123058983622342,0.7210793650793651,0.136261406956676,0.9396290836820874,0.03193599570304737,0.20965867300213703,0.04090581516223037,0.6193500728121851,0.06259234212438845,5.52,1.5576134227871274,20.64,4.266258929246478,31.439999999999998,4.202957007685098,2.12,1.1926726960269654
9,pfda_LogisticRegression_LassoSelect_sc1_1,0.6189624081369365,0.047846666535156554,0.8953694463470707,0.028702701099624868,0.7657240308919393,0.0939439655193965,0.6660232220609579,0.13333466476890327,0.6421428571428571,0.11113746221356198,0.9275301848066224,0.020478191702427366,0.2556404141208489,0.0965662097438937,0.6629221222807236,0.10892911070918636,4.92,1.3698752531010292,17.4,6.962621921882726,34.68000000000001,6.937919431257744,2.72,0.9588018918972733
10,pfda_LogisticRegression_TierSelect_PHENO-TIER1_sc1_1,0.6905851705946044,0.06334129602705427,0.9431804086959511,0.019531259676668616,0.7306714977399524,0.08385613916972885,0.6046298984034835,0.11156572220333186,0.747063492063492,0.11768442741861573,0.9452844930043609,0.02348936339511561,0.2229494159555406,0.0514737702455569,0.6245015274148829,0.08936671459576166,5.760000000000001,1.6894552919635806,20.6,5.83689175866394,31.479999999999997,5.773005209297749,1.8800000000000001,0.8871021416975211
11,pfda_NeuralNetwork_TierSelect-PCA_PHENO-TIER1_sc1_1,0.6625081841638446,0.06235163776168613,0.9367278764985159,0.020768458842059807,0.7537932073794098,0.06097062951157004,0.6395936139332365,0.08362744028777225,0.6823174603174603,0.11644208533172888,0.9323768559973746,0.024112301242892997,0.22097697650374992,0.047110203997489705,0.6453982983704851,0.06600332137542667,5.2,1.366334748056223,18.76,4.320039595437505,33.32,4.446806868189585,2.44,1.0046290955149995
