rowid,name,auroc,auroc_std,auprc,auprc_std,f1,f1_std,sensitivity,sensitivity_std,specificity,specificity_std,ppv,ppv_std,npv,npv_std,accuracy,accuracy_std,tn,tn_std,fn,fn_std,tp,tp_std,fp,fp_std
0,pfda_XGBoost_TierSelect_PHENO-TIER1-TIER2-TIER3-TIER4_sc1_1,0.6475607725607725,0.05203025493244086,0.9005604120009151,0.020248424955183513,0.7395150448719481,0.0699476953758566,0.6494638694638695,0.10609260378846733,0.5296190476190477,0.15282204163495772,0.8831999713737426,0.023997344863546894,0.2222524261550359,0.04344888697813251,0.6299659816976273,0.07281056079098788,6.5200000000000005,1.8895601879764539,22.840000000000003,6.916428286541868,42.36,6.91642828654187,5.88,1.8895601879764539
1,pfda_LogisticRegression__sc1_1,0.7148515484515484,0.03378673858601522,0.9193295414878506,0.015794061947841786,0.7707955985928809,0.08593178437486984,0.6884102564102565,0.1311503831789532,0.5985714285714285,0.14758346193655297,0.9016090704968824,0.021994061049582597,0.2869329105748511,0.06135847584971408,0.6734563756918187,0.09305182170606577,7.359999999999999,1.8110322546472322,20.319999999999997,8.566191511633825,44.88000000000001,8.566191511633825,5.040000000000001,1.8110322546472322
2,pfda_LogisticRegression_TierSelect-PCA_PHENO_sc1_1,0.6879337329337329,0.018281896817236774,0.9283332721277262,0.00504562852225436,0.7023526137630094,0.09218999061367965,0.5985268065268066,0.13012883107663928,0.6114285714285714,0.16305612353769466,0.9008324646872463,0.032081219689081966,0.2313588762168044,0.037544534262106036,0.5987701134308729,0.08468034448889779,7.4799999999999995,2.0904297650483037,26.160000000000004,8.471707353314887,39.040000000000006,8.471707353314887,4.92,2.0904297650483037
3,pfda_ensemble-soft-4_sc1_1,0.755838961038961,0.03665306288664598,0.938086010924686,0.016092632164905418,0.8079174065128258,0.052106771814956,0.7305641025641025,0.08390462603860205,0.644,0.09580130090114183,0.9160935537885567,0.01699322304724251,0.3219280242751771,0.04652153181467021,0.7150481012658227,0.060057600908248535,7.88,1.2111917786282747,17.560000000000002,5.4634976622061036,47.64,5.4634976622061036,4.52,1.2111917786282747
4,pfda_ensemble-stacked-20_sc1_1,0.7320325008325008,0.06331719155520511,0.9278604055393866,0.030891469394958217,0.8086184201494584,0.05258810619427819,0.7393566433566433,0.08829464659347562,0.5781904761904763,0.13365914843938645,0.9028228209468594,0.024141889066612254,0.308815874432796,0.0645884419758328,0.7124435475916489,0.06366281559644052,7.08,1.6484012770915242,17.0,5.755793883385303,48.2,5.755793883385303,5.32,1.6484012770915242
5,pfda_SwitchModel-RandomForest__sc1_1,0.6372721278721277,0.0398071318495825,0.8986524025863369,0.02240456819496791,0.485065489389312,0.2121807806918059,0.37373426573426577,0.2023511694878894,0.726,0.20630690108720923,0.7781632837419178,0.23319028360425617,0.1850430732322082,0.033782690711177385,0.4293953257712751,0.1433567492508095,8.959999999999999,2.514943569310099,40.839999999999996,13.19272487875071,24.36,13.19272487875071,3.44,2.514943569310099
6,pfda_ensemble-stacked-5_sc1_1,0.7572968364968365,0.03850728900125784,0.9388391091859578,0.016358303693890883,0.7851885186931841,0.07018830908467058,0.6994685314685314,0.10447423895098713,0.6540952380952382,0.12108681741594944,0.9155545513524229,0.025264199330271214,0.3059186380984734,0.06029245343353602,0.6903452791933804,0.07743451487386695,8.0,1.5536992675421364,19.6,6.822584495466463,45.599999999999994,6.822584495466463,4.4,1.5536992675421364
7,pfda_NeuralNetwork_TierSelect-PCA_PHENO_sc1_1,0.6625948051948052,0.03159539861497407,0.9227593439098086,0.00814998211867542,0.6965497909358628,0.040880638556025396,0.5815944055944057,0.059376307715091746,0.5724761904761906,0.10951572099117912,0.8785585801113267,0.02338823897440323,0.20444798258795815,0.024071916222187746,0.5797095402487807,0.041121515374376916,7.040000000000001,1.3200670827142855,27.28,3.8689656906575443,37.92,3.868965690657544,5.359999999999999,1.3200670827142855
8,pfda_NeuralNetwork_TierSelect_PHENO_sc1_1,0.6632829836829838,0.03319308988883711,0.9224102254996541,0.009355463549064469,0.6993046564955467,0.05365396436585691,0.5864615384615384,0.07570092356594339,0.5700000000000001,0.12553289535454945,0.8803891028485917,0.025303774023351794,0.2044584087212246,0.026852566764568202,0.5830280508521015,0.052553955016310085,7.0,1.5496607532840831,26.959999999999997,4.934978670881316,38.239999999999995,4.934978670881316,5.3999999999999995,1.5496607532840831
9,pfda_LogisticRegression_LassoSelect_sc1_1,0.6866568098568098,0.04700337149713416,0.9108548795391597,0.021571152281593505,0.7644177007323281,0.09155405547515191,0.6852027972027972,0.14375727480251632,0.5571428571428572,0.1525351403258667,0.8933029214241417,0.018771512291300814,0.2775536220168532,0.06297506727786151,0.6653028494712039,0.1000440845072533,6.919999999999999,1.8092501584667393,20.52,9.377050989591318,44.68,9.37705098959132,5.48,1.8092501584667393
