rowid,name,auroc,auroc_std,auprc,auprc_std,f1,f1_std,sensitivity,sensitivity_std,specificity,specificity_std,ppv,ppv_std,npv,npv_std,accuracy,accuracy_std,tn,tn_std,fn,fn_std,tp,tp_std,fp,fp_std
0,pfda_XGBoost_RidgeSelect_sc3_1,0.666008658008658,0.051121625433154017,0.8163623173034165,0.06131112869047296,0.6235349126502736,0.19684580958888626,0.5671933621933622,0.20904280293873953,0.6724343434343434,0.21218298831557852,0.7779476014455823,0.1904292066149818,0.3961640877515241,0.0668062784342067,0.5989448051948052,0.11648594216015835,6.24,1.9304065754199642,10.440000000000001,5.22257503698243,13.76,5.22257503698243,2.9600000000000004,1.9304065754199644
1,pfda_NeuralNetwork_PCA_sc3_1,0.7083417508417508,0.058238560076339596,0.8531569978706356,0.039732841946081045,0.7239891142379432,0.07856253808775703,0.6634367484367484,0.11837994606859607,0.6215050505050504,0.13800925484253693,0.8182777359658004,0.06094009833946538,0.4365603546780017,0.11082081051014381,0.652974025974026,0.08224437480400217,5.680000000000001,1.2911527427730463,8.0,2.996923552783241,16.199999999999996,2.996923552783241,3.5199999999999996,1.2911527427730463
2,pfda_SwitchModel-RandomForest_RidgeSelect_sc3_1,0.6905947570947572,0.072165616363558,0.8355883483984986,0.05030075904518259,0.5554613064846038,0.1640574946158138,0.45552188552188555,0.17749223267363395,0.7327777777777778,0.14147020902400148,0.8138067128605828,0.08417166577290523,0.3540379670155809,0.06881631898637297,0.5374329004329004,0.1121941391392641,6.8,1.2803154999495596,13.039999999999997,4.280380716742125,11.16,4.280380716742125,2.4,1.2803154999495596
3,pfda_ensemble-soft-20_sc3_1,0.767021645021645,0.021158838142458957,0.8831635141549894,0.01725552752439536,0.7633721366629489,0.05673788880118065,0.706108706108706,0.09953000210611647,0.6542929292929293,0.11577784698914946,0.8484166919408944,0.03889865638821065,0.47050081995747634,0.0722677537533998,0.6945411255411255,0.05370245887025993,6.04,1.0817283210700137,7.0,2.41346428142556,17.2,2.41346428142556,3.16,1.081728321070014
4,pfda_RandomForest_TierSelect_PHENO-TIER1_sc3_1,0.6503354978354979,0.038199485962357976,0.8368840437357713,0.03522041849400084,0.6802546547504124,0.09028196905964134,0.6217604617604617,0.1418937898655274,0.5320404040404041,0.19176060133602194,0.777887186059344,0.06794842001379989,0.3451983903609291,0.09626513415540328,0.6009556277056277,0.07652613713392487,4.92,1.763714282727807,9.0,3.3539316180378713,15.2,3.3539316180378713,4.28,1.763714282727807
5,pfda_XGBoost_LassoSelect_sc3_1,0.6653881673881674,0.052766346486003715,0.8435788530580645,0.033648087614487766,0.6273670870942382,0.20275644861548975,0.6066113516113516,0.2411309386500217,0.581848484848485,0.2025394648214612,0.6679688682813413,0.1698090883638909,0.4217739716423926,0.11320142728372182,0.6035854978354978,0.12628177872762336,5.4,1.8763036811326526,9.440000000000001,5.866425897655461,14.76,5.866425897655461,3.8,1.8763036811326526
6,pfda_XGBoost_NMF_sc3_1,0.6614550264550264,0.07694288965469012,0.8092687037659869,0.07490214611211954,0.6884792158223896,0.09261229354088608,0.6221885521885522,0.13631014682644388,0.5877171717171717,0.16691174164958558,0.8013807840360136,0.0543841406020875,0.3791606311931389,0.06739271046056985,0.6111991341991343,0.07845902275597152,5.4,1.4972431505468957,9.200000000000001,3.3101487358652593,15.0,3.3101487358652593,3.8,1.4972431505468957
7,pfda_SwitchModel-RandomForest_TierSelect_PHENO-TIER1-TIER2-TIER3-TIER4_sc3_1,0.6458609908609908,0.07363857508152669,0.822473715044495,0.04410115843138137,0.49332265893106264,0.1322917494941504,0.3844107744107744,0.14420529152596395,0.7443737373737374,0.15330042266557103,0.8104586087698215,0.0710995206737401,0.32578094673250185,0.045094569086210276,0.4844231601731602,0.08336767438605837,6.839999999999999,1.3920439859559326,14.88,3.542775823173951,9.319999999999999,3.542775823173951,2.36,1.3920439859559326
8,pfda_XGBoost_TierSelect-PCA_PHENO-TIER1_sc3_1,0.6341563251563251,0.069901470528326,0.805088079330662,0.06481939390215717,0.6463063882638849,0.10241844935378105,0.5718398268398268,0.14378764470227784,0.6012525252525253,0.1797556253120191,0.8013183634409785,0.062401948305456936,0.36906387858078815,0.108937135913757,0.5780216450216449,0.08260030053696422,5.5200000000000005,1.697814316410988,10.44,3.4312169032012383,13.760000000000002,3.4312169032012383,3.6799999999999997,1.697814316410988
9,pfda_RandomForest_PCA_sc3_1,0.7095199615199614,0.04705106604316987,0.845461957517568,0.03843632589314523,0.6613806357419151,0.10841227267973959,0.576924001924002,0.14001571646182553,0.6743434343434344,0.13122727888630908,0.8201319133297865,0.04901581885565216,0.39595652267596,0.07109071585686973,0.6032435064935064,0.0924253406148392,6.2,1.188437358079784,10.28,3.5016810924093527,13.919999999999998,3.5016810924093527,3.0,1.188437358079784
10,pfda_LogisticRegression_PCA_sc3_1,0.713893698893699,0.03411335257899885,0.8552690877494518,0.028196118605003973,0.7758386006159558,0.06495520867638971,0.7375661375661376,0.10657836454787069,0.6034444444444444,0.09966249610944543,0.8313305317492018,0.03490723071678589,0.48610541952028025,0.08602097107811515,0.7020097402597403,0.07007295528525091,5.56,0.9376287318782399,6.279999999999999,2.6423379557766604,17.92,2.6423379557766604,3.6400000000000006,0.9376287318782399
11,pfda_SwitchModel-LogisticRegression_TierSelect_PHENO_sc3_1,0.6777910052910052,0.026584098094364482,0.8543154336765187,0.012947384852523423,0.6451738474302676,0.06321396639644555,0.5497691197691197,0.09169903654785232,0.6602828282828282,0.06626938592573386,0.808432135639297,0.021862491414140626,0.3741932817784211,0.04821982280610797,0.5811731601731601,0.05296294504610556,6.08,0.6243906560844279,10.879999999999999,2.2232374931538477,13.319999999999999,2.2232374931538477,3.12,0.6243906560844279
12,pfda_SwitchModel-LogisticRegression__sc3_1,0.6808744588744589,0.037547022779385264,0.8254095574425889,0.03270464341977737,0.7442105287283913,0.08539235126291701,0.7013828763828763,0.1270596468628201,0.612959595959596,0.0906726581046288,0.8295552848302343,0.023966209316299194,0.4628683155924535,0.07116863737948992,0.6721753246753246,0.07558037025396509,5.5600000000000005,0.8049580658355271,7.32,3.2369246718535885,16.880000000000003,3.2369246718535885,3.6399999999999997,0.8049580658355273
13,pfda_RandomForest_TierSelect-PCA_PHENO-TIER1_sc3_1,0.634056277056277,0.05812317927320455,0.8289510964627593,0.040411740875994154,0.6383750436929737,0.10044279765575836,0.5583092833092833,0.1549487765527064,0.6029191919191919,0.21667115695584097,0.7893101159658849,0.07652533653954215,0.3479780446591592,0.06137305106222748,0.5705800865800865,0.07575956866499377,5.52,1.9808567904102763,10.64,3.6836649953684955,13.559999999999999,3.6836649953684955,3.6799999999999997,1.9808567904102763
14,pfda_RandomForest__sc3_1,0.7294160654160653,0.03416752350722878,0.8461922533992532,0.029280094902621494,0.787391563386454,0.06092214201985254,0.7574338624338625,0.1096163937961647,0.6059292929292929,0.11579896433869094,0.834617432233405,0.03455989295330218,0.5291279504808917,0.10302235401704389,0.7198160173160172,0.06120250499966619,5.6,1.085416761582251,5.68,2.629179237227671,18.520000000000003,2.629179237227671,3.6,1.085416761582251
15,pfda_LogisticRegression_TierSelect-PCA_PHENO-TIER1-TIER2-TIER3-TIER4_sc3_1,0.794087542087542,0.03014674684688822,0.9074921097355363,0.016093301498744956,0.8026220183610508,0.05804288925126553,0.7549230399230399,0.10507522034655639,0.6996767676767677,0.12965580128569731,0.8771617822000592,0.03882417940493006,0.5474235784854979,0.09016574744681871,0.7422564935064935,0.05627866524332954,6.480000000000001,1.192987327621735,5.88,2.5570687939283823,18.32,2.5570687939283823,2.72,1.192987327621735
