rowid,name,auroc,auroc_std,auprc,auprc_std,f1,f1_std,sensitivity,sensitivity_std,specificity,specificity_std,ppv,ppv_std,npv,npv_std,accuracy,accuracy_std,tn,tn_std,fn,fn_std,tp,tp_std,fp,fp_std
0,pfda_XGBoost_RidgeSelect_sc3_1,0.6954625231203362,0.09441678247700172,0.8650680020977708,0.06111577653768496,0.636988078386129,0.21547477421254113,0.5669817759154143,0.2141591647892997,0.7553679653679654,0.14246441546617508,0.8046724201151445,0.1866752579230216,0.402601060491086,0.11535893199302501,0.6076503403975668,0.1566570390990416,4.92,0.9631795653273368,8.68,4.207622842317264,11.559999999999999,4.422020742705447,1.7599999999999998,1.146650164147999
1,pfda_NeuralNetwork_PCA_sc3_1,0.6867171401117136,0.08578255163209447,0.859197326927541,0.0481444699785733,0.7561011388217154,0.08039363141852741,0.6730662889106824,0.10959522614359393,0.718038961038961,0.10806513555383801,0.879007010204614,0.04832279319870553,0.43759557109557107,0.1091177401079253,0.6848416421825716,0.0860273555432928,4.8,1.3682361926821922,6.56,2.081804339968513,13.680000000000001,2.6592760238515,1.8800000000000001,0.7539336406247038
2,pfda_SwitchModel-RandomForest_RidgeSelect_sc3_1,0.6826721392461013,0.05281513877319337,0.8623250389242338,0.0564441827816479,0.5407094173349359,0.15493650684828947,0.4212186262758345,0.17289838739727476,0.7680606060606061,0.13196286947663208,0.8528899988899988,0.07498311421074313,0.3203505451339615,0.08395602039854125,0.5124652223338879,0.10927159167433964,5.200000000000001,1.54593501236128,11.6,3.270311365185031,8.639999999999999,3.781969826806791,1.48,0.8329672579943594
3,pfda_ensemble-soft-20_sc3_1,0.7647636094518244,0.059391884913923707,0.9076462277474604,0.03022212273491855,0.779977353973442,0.06427358533363328,0.698685732777266,0.09732884205285156,0.7526926406926407,0.0931469485827912,0.8966654284902367,0.030781199767529854,0.4645665445665446,0.12422692780178288,0.7115344279020441,0.07094561208193259,5.039999999999999,1.3027758021979126,6.119999999999999,2.096305985171639,14.12,1.9512910569772184,1.64,0.6244706961180624
4,pfda_RandomForest_TierSelect_PHENO-TIER1_sc3_1,0.7195567963056522,0.11547475533368823,0.8905331482965636,0.04750145431152292,0.7856360260390435,0.08018325454767704,0.7190000429268164,0.11938016686163269,0.7024805194805195,0.1136429180487512,0.880167132317287,0.04447588030997636,0.47484548784548786,0.15726885855037562,0.7137132144550435,0.09665847918070838,4.720000000000001,1.1973736735735803,5.6800000000000015,2.426991101049154,14.559999999999999,2.479019934282241,1.9600000000000002,0.8262157823935196
5,pfda_XGBoost_LassoSelect_sc3_1,0.6863398710049168,0.08276327214233448,0.84724032846535,0.054208349957548044,0.65589876103034,0.20652219421831502,0.6033063026472638,0.22383526915587332,0.7177402597402598,0.1799854272370745,0.7327516232993013,0.19622189349426583,0.42334997224997223,0.12971695759895757,0.6401811726615325,0.14322122662098935,4.88,1.7488374634906811,7.919999999999999,4.408511032860942,12.319999999999999,4.607591170178655,1.8,1.122648508284428
6,pfda_XGBoost_NMF_sc3_1,0.6616958485287187,0.1070649734357045,0.851910798515472,0.05885290048753078,0.7311680236764098,0.08515781018017568,0.6493469972691941,0.12676373959117854,0.6590519480519481,0.13727062229652737,0.8569295233490279,0.05001781105354371,0.3990760905760906,0.127919041181887,0.6532083672449489,0.09482822536929787,4.4399999999999995,1.4552294103105257,7.08,2.604380148362229,13.16,2.7622106068161045,2.2399999999999998,0.9519183588453085
7,pfda_SwitchModel-RandomForest_TierSelect_PHENO-TIER1-TIER2-TIER3-TIER4_sc3_1,0.6679967156268235,0.09008733166803813,0.8333881682771269,0.06891164415505001,0.5593554625751118,0.15973855865361536,0.4476806310902421,0.17169464765461756,0.7087229437229438,0.14879351682275396,0.825941946941947,0.09075625057945208,0.3080026255358736,0.08703002664738542,0.5125085330350697,0.12704345028307001,4.799999999999999,1.5485248654027068,11.16,3.5148318331853963,9.08,3.5524680638021406,1.8800000000000001,0.9192147604124337
8,pfda_XGBoost_TierSelect-PCA_PHENO-TIER1_sc3_1,0.6679827826318101,0.07451059153696453,0.8401864664066174,0.05723116436746116,0.6890461941483613,0.09241480891553093,0.5917980392351103,0.11262508276950474,0.7206536796536795,0.11581761027616203,0.8631878905408318,0.06762076077543065,0.38310262939674705,0.10131215650499778,0.6236643441405061,0.08943471840808442,4.8,1.1621141692051746,8.280000000000001,2.3984191196900517,11.959999999999999,2.2215875894250816,1.8800000000000001,1.0088370330639311
9,pfda_RandomForest_PCA_sc3_1,0.7025176166229616,0.08372585996699855,0.86386888937642,0.0617517607090459,0.7378014030083728,0.09316458128720165,0.6455793039912032,0.1273997180156745,0.7548138528138528,0.09402338835932396,0.8863248600384825,0.05723404371211428,0.4322930155499815,0.10917505859535866,0.6719580900636373,0.09553049133204196,5.0,1.068011339731216,7.12,2.478122042542444,13.120000000000001,2.90082858295669,1.6800000000000002,0.7638032870599776
